,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,1610612738,Boston Celtics,82,66,16,0.805,48.2,36.4,76.7,0.475,7.3,19.1,0.381,20.5,26.5,0.771,10.1,31.9,42.0,22.4,15.2,8.5,4.6,4.7,22.7,22.2,100.5,10.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Boston Celtics
0,1610612765,Detroit Pistons,82,59,23,0.72,48.1,36.6,79.9,0.458,5.9,16.2,0.366,18.4,24.0,0.767,11.9,29.5,41.4,22.3,11.7,7.1,5.8,3.9,20.6,19.7,97.5,7.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Detroit Pistons
0,1610612747,Los Angeles Lakers,82,57,25,0.695,48.2,39.6,83.1,0.476,8.1,21.4,0.378,21.3,27.7,0.769,11.0,33.2,44.1,24.4,14.1,8.0,5.3,4.5,20.6,22.6,108.6,7.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Los Angeles Lakers
0,1610612759,San Antonio Spurs,82,56,26,0.683,48.1,35.8,78.3,0.457,7.2,19.6,0.369,16.5,21.6,0.761,9.4,31.9,41.3,21.0,12.6,6.4,4.1,4.4,18.7,19.8,95.4,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,San Antonio Spurs
0,1610612740,New Orleans Hornets,82,56,26,0.683,48.3,38.6,82.9,0.466,7.7,19.8,0.389,16.0,20.8,0.769,11.4,30.4,41.8,21.8,11.9,7.8,3.9,4.0,18.7,19.2,100.9,5.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,New Orleans Hornets
0,1610612756,Phoenix Suns,82,55,27,0.671,48.2,41.4,82.7,0.5,8.5,21.5,0.393,18.9,24.1,0.783,8.8,32.7,41.5,26.7,14.4,6.5,6.3,3.8,19.9,21.1,110.1,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Phoenix Suns
0,1610612745,Houston Rockets,82,55,27,0.671,48.1,36.6,81.7,0.448,7.1,20.8,0.342,16.4,22.5,0.726,12.2,32.4,44.6,21.4,13.7,7.3,5.1,4.6,19.6,19.7,96.7,4.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Houston Rockets
0,1610612762,Utah Jazz,82,54,28,0.659,48.1,40.0,80.4,0.497,5.0,13.4,0.372,21.3,28.0,0.759,11.5,29.4,40.9,26.4,14.6,8.7,4.3,5.1,24.0,23.1,106.2,6.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Utah Jazz
