,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,1610612744,Golden State Warriors,82,73,9,0.89,48.5,42.5,87.3,0.487,13.1,31.6,0.416,16.7,21.8,0.763,10.0,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,114.9,10.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Golden State Warriors
0,1610612759,San Antonio Spurs,82,67,15,0.817,48.1,40.1,82.9,0.484,7.0,18.5,0.375,16.4,20.4,0.803,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,103.5,10.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,San Antonio Spurs
0,1610612739,Cleveland Cavaliers,82,57,25,0.695,48.4,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Cleveland Cavaliers
0,1610612761,Toronto Raptors,82,56,26,0.683,48.2,36.7,81.3,0.451,8.6,23.3,0.37,20.8,26.7,0.777,10.2,33.2,43.4,18.7,13.1,7.8,5.5,5.4,19.6,22.0,102.7,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Toronto Raptors
0,1610612760,Oklahoma City Thunder,82,55,27,0.671,48.4,41.1,86.4,0.476,8.3,23.7,0.349,19.7,25.2,0.782,13.1,35.6,48.6,23.0,15.9,7.4,5.9,4.5,20.6,20.2,110.2,7.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Oklahoma City Thunder
0,1610612746,LA Clippers,82,53,29,0.646,48.4,38.3,82.4,0.465,9.7,26.7,0.364,18.2,26.2,0.692,8.8,33.3,42.0,22.8,13.0,8.6,5.6,3.2,21.3,22.5,104.5,4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,LA Clippers
0,1610612737,Atlanta Hawks,82,48,34,0.585,48.4,38.6,84.4,0.458,9.9,28.4,0.35,15.6,20.0,0.783,8.3,33.8,42.1,25.6,15.0,9.1,5.9,5.0,19.1,18.3,102.8,3.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Atlanta Hawks
0,1610612738,Boston Celtics,82,48,34,0.585,48.2,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.788,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,105.7,3.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Boston Celtics
