,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
0,1610612756,Phoenix Suns,82,62,20,0.756,48.2,40.9,85.6,0.477,9.7,24.7,0.393,19.0,25.4,0.748,11.8,32.3,44.1,23.5,13.7,7.0,5.5,4.2,19.1,0.0,110.4,7.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Phoenix Suns
0,1610612748,Miami Heat,82,59,23,0.72,48.7,37.8,77.7,0.486,5.8,15.4,0.377,20.2,30.1,0.672,10.8,32.2,43.0,21.8,13.7,6.4,5.8,3.2,22.1,0.0,101.5,6.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Miami Heat
0,1610612759,San Antonio Spurs,82,59,23,0.72,48.3,35.6,78.7,0.453,6.2,17.0,0.363,18.7,25.9,0.724,12.0,30.4,42.4,21.6,13.7,7.5,6.6,5.1,20.9,0.0,96.2,7.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,San Antonio Spurs
0,1610612742,Dallas Mavericks,82,58,24,0.707,48.1,37.3,81.6,0.457,5.6,15.5,0.364,22.3,28.2,0.789,12.1,30.9,42.9,19.6,13.4,8.6,5.6,4.9,22.3,0.0,102.5,5.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Dallas Mavericks
0,1610612765,Detroit Pistons,82,54,28,0.659,48.7,34.8,78.3,0.444,4.4,12.8,0.345,19.4,26.2,0.739,12.9,30.6,43.4,21.8,13.8,7.0,6.1,4.5,20.0,0.0,93.3,3.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Detroit Pistons
0,1610612760,Seattle SuperSonics,82,52,30,0.634,48.2,35.1,79.2,0.444,8.1,22.2,0.365,20.5,26.0,0.79,12.7,28.2,40.9,18.1,13.6,6.7,4.1,4.8,23.7,0.0,98.9,2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Seattle SuperSonics
0,1610612745,Houston Rockets,82,51,31,0.622,48.4,34.7,78.3,0.443,6.7,18.5,0.364,18.9,24.2,0.781,10.7,31.7,42.4,21.1,13.8,6.9,4.6,4.1,22.0,0.0,95.1,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Houston Rockets
0,1610612758,Sacramento Kings,82,50,32,0.61,48.4,39.1,85.1,0.459,6.4,17.0,0.374,19.2,24.4,0.787,12.5,29.9,42.4,24.5,13.1,8.2,3.9,4.5,20.5,0.0,103.7,2.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,Sacramento Kings
